F2, 0.0018774096644533032
F3, 0.00253937015086535
Ca, 0.30397318522032474
Cb, 35.132815699021535
Cc, 1.8332339441558494
Na, 0.007972810846058675
V, 0.5838918864532749
rho1, 784.2402945581629
rho2, 952.3872076174705
rho3, 930.617686828151
z, 0.0
xv1, 0.5
xv2, 0.5
T, 66.53183050838233
Qj_tot, 210.6610957324892
T_cw1, 45.688868696849475
T_cw2, 51.35126902418227
T_cw3, 51.13139526406943
Qj1, 155.51522730214
Qj2, 55.14586843034919
Qj3, 0.0
Qair1, 0.0
Qair2, 1.0850560657141224
Qair3, 2.099207638935003
rao, 0.5482248272415359
rbo, 0.9449937932823306
ra, 0.018977548257754252
rb, 0.6795386457115183
rc, 0.14989052194596547
rsolvent, 0.15159328408476203
h1, 0.5
h2, 0.24343423968232314
h3, 0.0
H, 0.7434342396823231
d_Pv2, 6785.002885298781
